entidad,autorntt,autorn1,autorn2,autorn3,autorn4,autorn5,autorn6,autorn7
"01","0","0","0","0","0","0","0","0"
"02","40","0","2","0","34","4","0","0"
"03","7","1","0","2","2","2","0","0"
"04","2","2","0","0","0","0","0","0"
"05","0","0","0","0","0","0","0","0"
"06","0","0","0","0","0","0","0","0"
"07","2","1","1","0","0","0","0","0"
"08","9","8","0","0","1","0","0","0"
"09","19","5","0","7","0","0","7","0"
"10","0","0","0","0","0","0","0","0"
"11","99","37","2","4","55","1","0","0"
"12","8","1","0","0","6","1","0","0"
"13","1","0","0","1","0","0","0","0"
"14","13","2","0","3","7","0","1","0"
"15","20","8","5","4","2","0","0","1"
"16","4","1","0","0","3","0","0","0"
"17","1","0","0","0","1","0","0","0"
"18","0","0","0","0","0","0","0","0"
"19","3","0","0","0","1","0","2","0"
"20","20","20","0","0","0","0","0","0"
"21","2","0","0","0","2","0","0","0"
"22","2","0","0","1","1","0","0","0"
"23","14","1","0","3","1","3","6","0"
"24","2","0","1","0","1","0","0","0"
"25","10","0","2","1","7","0","0","0"
"26","23","1","1","2","19","0","0","0"
"27","2","0","1","0","1","0","0","0"
"28","10","4","0","0","6","0","0","0"
"29","11","7","2","0","2","0","0","0"
"30","23","3","2","1","16","1","0","0"
"31","2","2","0","0","0","0","0","0"
"32","7","2","1","1","3","0","0","0"