entidad,dinfau1,dinfau2,dinfau3,dinfau4,dinfau5,dinfau6
"01","3963800","83414","0","0","0","1"
"02","2637028","346603","340000","0","0","48"
"03","56664","1027","0","0","0","0"
"04","4407","0","0","0","4","12"
"05","132565","13864","0","0","257","0"
"06","301520","1","0","0","0","490"
"07","1450821","6","0","0","0","23"
"08","2919230","112686","0","0","0","0"
"09","5681146.6","3901092.86","224760","45148","0","487"
"10","2000","10782","0","0","0","1"
"11","1183603","24265.31","0","0","242","960"
"12","354305","2865","0","0","0","19"
"13","1570220","0","0","0","20","100"
"14","2840239","537103.18","48000","0","140","501"
"15","9407706","14045","11915","0","88","413"
"16","2251628.5","24822","0","0","187","4"
"17","6440.5","0","0","0","0","1"
"18","205385.5","0","0","0","0","428"
"19","67052","555","0","0","0","0"
"20","68268.5","183.3","0","0","63","9"
"21","472521","44239","0","0","80","2644"
"22","2343581","64298","0","0","0","14"
"23","1814400","613440","23300","0","34","154"
"24","411659","4281","0","0","59","635"
"25","2074867.6","20000","0","0","0","412"
"26","567964.5","289819","0","0","0","0"
"27","62382.5","260","0","0","0","31"
"28","2977392.5","17315","0","0","0","4"
"29","175860","397","0","0","115","2"
"30","6026568.5","18801","0","0","190","238"
"31","1562600","2260","90","0","0","11"
"32","1209656.5","254","0","0","20","0"
"99",".3",".35","","","",""