entidad,hidroc1,hidroc2,hidroc3,hidroc4,hidroc5
"01","90000","0","0","0","0"
"02","53100","14636","0","0","14650"
"03","0","0","0","0","0"
"04","201516","32000","0","0","0"
"05","154660","30335.907","0","0","99480"
"06","0","0","0","0","0"
"07","36900","1000","0","0","34826.42"
"08","20000","10800","243430","0","15000"
"09","3051","10780","40000","0","1632"
"10","0","60000","0","0","0"
"11","1226233","1375422","520315","465255","1459135.084"
"12","2100","2020","0","0","96551"
"13","171385","111678","105559","0","82731"
"14","295227","691118","0","27500","144943"
"15","338797","309450.9","82222","40000","298526.05"
"16","80396","379565","0","0","568053"
"17","60298","25815.19","0","0","27422"
"18","0","66000","0","0","1400"
"19","193294","342089","0","0","30900"
"20","34000","157997","0","0","39474"
"21","544783.25","474823.5","184130","0","339003.5"
"22","531250","241000","109600","20000","318035"
"23","0","1050","0","0","300"
"24","191892","53660","0","58175","354480"
"25","5890","229030","0","0","576748"
"26","208621","59879","0","0","252667"
"27","188010","147680","0","0","263009.5"
"28","161300","68300","0","39000","678995"
"29","177399.5","2220","55800","0","5708.75"
"30","1022452","884524.25","23780","0","644470"
"31","68481","0","0","0","30000"
"32","4650","250","0","0","35120"
"99","","","","",""