entidad,lmpnar1,lmpnar2,lmpnar3,lmpnar4,lmpnar5,lmpnar6
"01","0","0","0","20.0611","0","1451"
"02","0","0","0","271.6433","1093","103335"
"03","0","0","0",".1226","0","271"
"04","0","0","0","0","0","0"
"05","0","0","0","0","0","6"
"06","0","0","0","0","0","0"
"07","0","0","0","0","0","0"
"08","0","0","0","0","0","1297"
"09",".3","0","0","21.248","5739","1623"
"10","0","0","0",".02","0","0"
"11","0","0","0","0","0","6430"
"12","0","0","0","0","0","0"
"13","0","0","0","0","0","487"
"14","0","0","0","34.1194","1010","3994"
"15","0","0","0",".5","0","198"
"16","0","0","0","109.103593","0","15360"
"17","0","0","0","0","0","0"
"18","0","0","0",".00432","0","50"
"19","0","0","0",".038","0","144"
"20","0","0","0","0","0","0"
"21","0","0","0",".01137","0","1919"
"22","0","0","0","0","18859","23"
"23","0","0","0","21","0","408"
"24","0","0","0","0","945","92601"
"25","0","0","0","21.0216","0","539"
"26","0","0","0","128.9149","0","607"
"27","0","0","0","0","0","0"
"28","0","0","0","0","0","7"
"29","0","0","0",".005","0","145"
"30","0","0","0",".002","0","5867"
"31","0","0","0",".27438","2817","947"
"32","0","0","0","0","0","67"
"99","","","",".000437","",""