entidad,comunitt,comuni1,comuni2,comuni3
"01","10","10","0","0"
"02","125","125","0","0"
"03","22","22","0","0"
"04","6","6","0","0"
"05","3","1","1","1"
"06","28","28","0","0"
"07","27","27","0","0"
"08","35","24","0","11"
"09","1408","1405","0","3"
"10","5","5","0","0"
"11","133","126","0","7"
"12","49","43","0","6"
"13","46","46","0","0"
"14","91","82","0","9"
"15","102","98","0","4"
"16","151","150","0","1"
"17","10","10","0","0"
"18","12","12","0","0"
"19","43","43","0","0"
"20","24","22","0","2"
"21","46","34","0","12"
"22","17","14","0","3"
"23","55","55","0","0"
"24","11","11","0","0"
"25","8","8","0","0"
"26","72","26","0","46"
"27","28","28","0","0"
"28","41","32","0","9"
"29","21","18","0","3"
"30","226","226","0","0"
"31","1","1","0","0"
"32","25","21","0","4"
"99","","","",""